user;Comment;Label
BEBASBAKTERI; https://t.co/zqIGHISrFl;NON-CYBERBULYING
nshalihindamiri; Saya lihat-lihat, wong cilik yang komen di sini belum ada yang ditanggapi. Hmmm;NON-CYBERBULYING
setengahhmatang; Telekk;CYBERBULLYING
tegarfr__; mahalini wes bener2 nyanyi, lapo melok PDI;NON-CYBERBULYING
torie_guevara; Coba makannya di warkun belakang PGC Cirebon  ðŸ¤­;NON-CYBERBULYING
to_mandarsulbar; https://t.co/OeE2l7q3VM;NON-CYBERBULYING
wawa_huwa; Mbak, itu duren kl di supermarket bisa 500rb per buah.. wong cilik ga mampu jajan model begitu.. Dâ€¦ https://t.co/ngMtylBxvI;NON-CYBERBULYING
kojel23; Yang pantas merakyat itu pak Ganjar Pranowo, jenengan dari lahir sudah anak cucu presiden. Emang tâ€¦ https://t.co/etMe9Tfiiq;NON-CYBERBULYING
anaceliard_; Kalo lagi butuh aja ngemis2 ke wong cilik, giliran apa yang dituju udh didapat wong ciliknya diacuâ€¦ https://t.co/ZiV7BKkHEX;NON-CYBERBULYING
sukmana_zul; Kumaha sia we....;NON-CYBERBULYING
bagusanggatri; ðŸ¤£ðŸ¤£ðŸ¤£;NON-CYBERBULYING
sikotor1; Warung wong cilik ga ada aqua botol kecil bu pua, adanya mineral gelas merk viand;NON-CYBERBULYING
Alvntzx; Mohon maaf udh ga percaya, sidang aja ada yg intruksi micnya di matiinn chuakssssss ninuninu, gtuâ€¦ https://t.co/ZboZPgK6HJ;CYBERBULLYING
broyyanzskuy; Taek;CYBERBULLYING
RaffaelleJuan; Jgn memaksakan diri utk nyapres..nilai jual nama puan msh sngt rendah di mata gw sbg rakyat. Prestâ€¦ https://t.co/GsUwn2zkYg;CYBERBULLYING
mahesa_munir; Wong cilik telek lentong;CYBERBULLYING
orcidaaa; affah iyahhh;NON-CYBERBULYING
NamineKomeng; opo izo;NON-CYBERBULYING
alvinReparo; Peler;CYBERBULLYING
fvckdmnsht; https://t.co/imuoLQFuSg;NON-CYBERBULYING
justajib; si paling wong cilik;CYBERBULLYING
GKemaksiatan; Haahhqahhwahahahahahahahqhwh........sekalipun di comberan siapa yg akan bertanya.........dasar LONTE gk laku jual;CYBERBULLYING
MiahMuktar1; Cocok bu puanmaharani sama cak imin, sama sama sederhana dan merakyat, dan tidak lupa pula dari maâ€¦ https://t.co/z6iMwTm0TH;NON-CYBERBULYING
syamss_s; https://t.co/ZZ4pDjuV6F;NON-CYBERBULYING
DeeRose782; Parte wong cilik doyan matiin mik;CYBERBULLYING
Paijo14565029; Preeettt partai wong cikik..????kok nindas..?;CYBERBULLYING
mhmddikif; Biasanya kalo warung wong cilik, mejanya pake taplak plastik gambar good day kalo ngga yg gambar tâ€¦ https://t.co/UshMuyZ6eQ;NON-CYBERBULYING
chillmilktea; anda bohong;CYBERBULLYING
ayahsatuistri; Partai wong licik;CYBERBULLYING
aresiapa; merendah untuk meninggi ini mah;NON-CYBERBULYING
bowouhuy; Mbak raraa;NON-CYBERBULYING
evinandrianto_; Bu kok di warung ada alas mejanya bersih lagi,  Dan terus rakyatnya mana ya?;NON-CYBERBULYING
krtn_twt; udah mirip baim wong, Wong cilik dijadiin konten terus;NON-CYBERBULYING
zulsense; Ohiya?masa?ðŸ˜‚;NON-CYBERBULYING
TitusHW; @yohanesaries_ @Keepersthefaith;NON-CYBERBULYING
yudisu77; Meja kursinya khusus VVIP;NON-CYBERBULYING
nrkholsa; Niat pencitraan seolah sepihak malah dihujat aowkaowkk;CYBERBULLYING
lightbringerr_; Gk peduli;NON-CYBERBULYING
Tonno28238977; Saya wong cilik yg suka Ganjar;NON-CYBERBULYING
kangf4j4r; Mba Rara mau nyapres yaaa?  https://t.co/du0zglVhkh;NON-CYBERBULYING
star_trafford; 2022 masih pake narasi Wong CilikðŸ¤£ https://t.co/KkyuE8WD7Y;NON-CYBERBULYING
cqubil; Warung pecelnya didandanin dulu... taplak meja baru putih bersih... wong ciliknya yang di peres;NON-CYBERBULYING
SPMarch9; Pleaseee biarin dia nyalon dari Pdip, toh nanti dia ga akan kepilih. Akhirnya Pdip ga berkuasa, yuâ€¦ https://t.co/xCxIYWuprW;NON-CYBERBULYING
Arieelloo;" Banyak alinea alinea yg hancur di dunia ini karena sudah tidak ada faktanya, antara lain ""demi banâ€¦ https://t.co/wrJBVQ2MhU";NON-CYBERBULYING
RiefSya_; Huaaaaaak cuwiehh;NON-CYBERBULYING
maulana_ardana_; afhhh iyhhhkak;NON-CYBERBULYING
rererayendras; Itu mah meja kondangan;NON-CYBERBULYING
cihuilah; akulah wong cilik itu bu. pliss bupuan notice aku buu. ajak aku makan di warung pecel;NON-CYBERBULYING
xiewoek; Sa ae lu perabotan lenong;CYBERBULLYING
psychopaatth; gua yakin itu bukan durian cepe dapet tiga;NON-CYBERBULYING
ijallagi; Ojo pedhot oyot Bu;NON-CYBERBULYING
matchxaz; apasih suka mute mic pas rapatðŸ™„;CYBERBULLYING
ranselkosong_; Wong cilik mangane ngemper lemek kloso, ora modelan ngono yuk!;NON-CYBERBULYING
bayyibay; https://t.co/BoF6pWM74W;NON-CYBERBULYING
cirengisihati; geuleuh mbk Rara;NON-CYBERBULYING
AshaMia5; Berak sekebon;CYBERBULLYING
MSRONLY; Sipaling Tujuh belas rebuðŸ™;NON-CYBERBULYING
AlfinaHerman; bacod.;CYBERBULLYING
dody_fm; mbak puan emang merakyat... sy saksinya;NON-CYBERBULYING
Farid78580326; Preeeettt;NON-CYBERBULYING
alungfir; Opo iyo to... ðŸ˜‚ Gek..gek rek ngapusi..;NON-CYBERBULYING
Deden35947795; ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£wong cilik saat mendekati pemilu.setelah itu wong licik;CYBERBULLYING
nelayanikan_; @thepopoh Siap jagoan!;NON-CYBERBULYING
Prakarrsa; Cilik bu? Cilik anune;CYBERBULLYING
fivixavan; full gimmick, bu.;CYBERBULLYING
YoghiAgung; Jadi pengen nanges ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤¬;NON-CYBERBULYING
san_sanPS; Prettt;NON-CYBERBULYING
temanb4ik; Dapormu iku lo;NON-CYBERBULYING
mrdsrtclaw; Komunitas Caper Indonesia lagi kerja ðŸ˜±ðŸ˜±ðŸ˜±;NON-CYBERBULYING
BAYUWAHYU_; Pecel lele dimana ya ini Bu. Pake taplak putih, ada sendok sama Capitan serta duren. Komplet sekali warung pecel lelenya.;NON-CYBERBULYING
patiunus98; Ciaaah ðŸ˜€ Sadar apa yg kamu omongin mbak puan yang terhormat;NON-CYBERBULYING
RheaZhary; Akar rumput wong cilik semoga semakin pinter,dgn akal2an politikus yg memanfaatkan rakyat;CYBERBULLYING
BangBen26616216; Kamu tdk sadar diri mbok ðŸ¤£  Udah nyungsep baru nyaho;NON-CYBERBULYING
feelsdisaster; mong seng;NON-CYBERBULYING
sabrinawati; Iya...iya wong licik eh....;NON-CYBERBULYING
tabdullah448; Bawa remote gak bu?;NON-CYBERBULYING
SNAFU_S; Sangat prepare ya buat 2024;NON-CYBERBULYING
Ahmadkhoirr_; makin hari makin enek;CYBERBULLYING
mandiritrans20; Wong LICIK;CYBERBULLYING
elfthrn; kata saya mending ibu nyobain dulu nasi uduk goceng tapi dapet seabreg sebelum bikin tweet ini.;NON-CYBERBULYING
auliadwian96; Brisik;CYBERBULLYING
Yusufgaruda2; Bu udah bu, malu bu..;NON-CYBERBULYING
navirius; Pecel sepiring 30rb;NON-CYBERBULYING
linggarsulis; Wong cilik negara bagaian mana yang pakai jaket rompi Rei.;NON-CYBERBULYING
antasofa; Kangen ama PDI-P pas jd oposisi. Apalagi waktu BBM naik.;NON-CYBERBULYING
mulyadi_almair; Partainya wong licik... Selalu memanfaatkan wong cilik.;CYBERBULLYING
makmukiperrr; wong cilik tah wong LICIK buosss?;CYBERBULLYING
OppositeReal; Setelah menjabat ketua DPR RI saya telah berhasil mematikan mic,jangan ragu memilih saya..ðŸ˜;CYBERBULLYING
YaakamuajaHan; loh mbak rara uda glow up aja;NON-CYBERBULYING
valardohaelis; Siapapun sebaik apapun calonnya klo dri partai ono gua gabakal pilih;NON-CYBERBULYING
xxxxjeongguk; Dahlah buk mending pensiun menikmati masa tua dengan keluarga daripada gimmick terus apa ga cape;NON-CYBERBULYING
rhidvansantoso; Tapi bukan levelnya kang bakso ya Bu?;NON-CYBERBULYING
rohman_dn; maap 2024 fix golput gg ada yg meyakin kan, lagian milih jg ttp dipaksa survive sndri2 a.k.a gg adâ€¦ https://t.co/Ia5abrawlM;NON-CYBERBULYING
ekawdwt; semangat pencitraan nya bukkk, pilpres dikit lagi kami tau kok;NON-CYBERBULYING
Busrolanaaa; Para kadrun bersorak sorai gumbira ria andai anda nekat maju pilpres .sungguh lawan yg mudah bagi Anis.;NON-CYBERBULYING
eibiseu; Cringe banget njir;NON-CYBERBULYING
infabblemax; Ohh, butuh suara toh;NON-CYBERBULYING
rizqi8938; Enggeh toh bu? ðŸ™ðŸ» Baru tau wong cilik n wong sandal jepit makan  pecel di meja mutih dg kursi terbâ€¦ https://t.co/cX5SwkaAXr;NON-CYBERBULYING
dbyrsln; Padahal semua orang udah ngehujat nih, awas aja kalau pilpres 2024 tiba tuba menang;NON-CYBERBULYING
Lala_DConza; Mendekati pemilulah pakek jurus andalan partaine wong cilik,,tapi nek wes dadi hasile partai sing dadi musuhne wong cilikðŸ¤®;NON-CYBERBULYING
icakrzc; Heleh pruttt;NON-CYBERBULYING
strijdbaar_; Perjuangan sebelah mana?;NON-CYBERBULYING
arimadut; Padi milik rakyat~;NON-CYBERBULYING
_bayuseptian; ..... .... ( ngga bisa komentar, mic nya di matiin);CYBERBULLYING
MasYush; Makanya mendukung kebijakan yg banyak bikin susah krn semakin susah rakyat maka wg cilik semakin bâ€¦ https://t.co/mhwkFt835F;NON-CYBERBULYING
ricky_oktavani; Kalo begini caranya, tetep segitu doang angka elektabilitasmu bu ðŸ˜€;NON-CYBERBULYING
konoha_negri; partai wong licik ðŸ˜‚ðŸ˜‚;CYBERBULLYING
Anitahirrr; Mbak rara udh gk ngepawang lg?;NON-CYBERBULYING
ivanespe23; Warung, tp meja di taplaki putih, ada duren.. keren dah warung ini;NON-CYBERBULYING
Priagung_11; Sebutkan fakta yang terjadi di belakang layar sesi foto ini;NON-CYBERBULYING
12ctp; Matikan mic.. sdh cukup..;CYBERBULLYING
elciepoel; Mirip mbak rara;NON-CYBERBULYING
johgesseo; Banyak bacot! Partaimu isunya koruptor goblok https://t.co/QLHJqZjGXS;CYBERBULLYING
solargocen9; mw nyapres gini amat;NON-CYBERBULYING
zanuratharyanto; Ngising;NON-CYBERBULYING
scsuroso; Mn pendukung puan kok ada yg komen ,,, gitu kok  pede nyapres,, jgn2....?;NON-CYBERBULYING
EJembling; Sak sermu;NON-CYBERBULYING
RetnoWu37755530; Kayaknya seneng kalo banyak wong cilik (wong gak nduwe) makanya harga2 dinaikkan..  Biar makin banâ€¦ https://t.co/jufz7uk2b1;NON-CYBERBULYING
tn_aduhey; Mungkin sendal jepit yg dimaksud yg ini https://t.co/GeydzIS7g2;NON-CYBERBULYING
masadi84_; Halah ngaku ngaku aja nih himawari;NON-CYBERBULYING
ewinjm; Yakin ?;NON-CYBERBULYING
gateof13th; aku cinta PDI!!! PDI jaya jaya jaya!!;NON-CYBERBULYING
YulianaMatsush2; Ganjar tetap terbaik.;NON-CYBERBULYING
mozarmuda; Wong cilik lagi antri neng pom Buu.;NON-CYBERBULYING
LNWGK; Ngapunten buk, warung sate kulo sakmenika sederhana. Kulo sadean sate ayam wonten ing kidul balaikâ€¦ https://t.co/NcBoQQqpbr;NON-CYBERBULYING
AlaanTS; ðŸ˜„ðŸ˜„ðŸ˜„ðŸ˜„ dah gitu aja.;NON-CYBERBULYING
areas_deep; Embelgedes;NON-CYBERBULYING
tukangjarambah; Halah bacottt;CYBERBULLYING
dewo_padi08; Bikin twit ginian posisi belio sdg ngigau apa sadar sih ??;NON-CYBERBULYING
barunetaslho; https://t.co/RoOEmjehmk;NON-CYBERBULYING
J3RRY76; Hanya dihadapan Tuhan, saya adalah 'wong cilik'. Tapi tidak dihadapan PDI-P dan PKB;NON-CYBERBULYING
ardhy18; Buat pura2 merakyat aja gak berhasil.  Gimana merakyat betulan?;CYBERBULLYING
gatausiapajuga; Heshhh pencitraan;CYBERBULLYING
OCHN; ðŸ¤ŸðŸ¤ªâœŒï¸ https://t.co/muikyPMeeb;NON-CYBERBULYING
Ismailfahrul12; Kos anu enya Weh didinya mah bu;NON-CYBERBULYING
lchal_; ðŸ¤£ðŸ¤£;NON-CYBERBULYING
udypanji; Wong cilik yg cuma dibutuhkan saat pemilu dan ditinggalkan saat menjabat...;NON-CYBERBULYING
Aliefyuss; ðŸ¤ðŸ¤ðŸ¤;NON-CYBERBULYING
firdausharjo; Sejak kapan warung pecel ada jual buah durian juga mbak;NON-CYBERBULYING
setiawan1212; Hilih Bicit...;NON-CYBERBULYING
aditiaz_; Afa iyh;NON-CYBERBULYING
bintang5576; Ngobrolnya gak pakai mic Bu...? Kalau cak Imin ngomongnya nyolot, tinggal matiin aja mau c nya;NON-CYBERBULYING
daysgonebbyy; pecel lele mana yg mejanya dirempel kek prasmanan;NON-CYBERBULYING
Masmudik11; Tak kira mb rara pwg ujan;NON-CYBERBULYING
abbaduhuy; ðŸ˜‚;NON-CYBERBULYING
alifn95; Bu saya cuma ingin lihat komen boleh BuðŸ™ðŸ¥¹;NON-CYBERBULYING
AbdMahin_; Warung kok seporsi 17.000. Nek warung, 10.000 pecel, 3.000 es teh. Malah enek seporsi 8.000. Mejonâ€¦ https://t.co/1iym4SAPBT;NON-CYBERBULYING
jodipr_; Wong cilik sek ndi bu? Aku ra lo;NON-CYBERBULYING
tankjungler; emang masih meta ya pake cara seperti ini?;NON-CYBERBULYING
caksaaa; ahhh yg bener partai wong kecil? eh iya bener partai wong cilik, sangking ciliknya anggotanya banyak yg korupsi ðŸ¤­;CYBERBULLYING
crzforme; Makanya saya pengen Bu Puan yang jadi presiden. Soalnya hampir mustahil kandidat yang lain bisa meâ€¦ https://t.co/wRH6iYsaTy;NON-CYBERBULYING
msyanwr; ojok direken lour;NON-CYBERBULYING
abdeeLatezone; Makanan pencitraan ya bu;CYBERBULLYING
FaizRadli; Gejala alam..pemilu sudah mendekat.;NON-CYBERBULYING
dzoulfiqar_gani; nanaonan ah;NON-CYBERBULYING
Zie83132906; Reminder https://t.co/fzPFuFBnYf;NON-CYBERBULYING
irmawindya; Mon maap, semacam sudah bosan liat politisi pencitraan ðŸ˜… Bikin kontrak politik aza, siap mengadiliâ€¦ https://t.co/APc1ZKuDLu;CYBERBULLYING
MimpiKotak; Politik durian ala puan,  Mau ga mau harus mau, Daripada diburu;NON-CYBERBULYING
Damarmaulana80; Pasangan yg Cocok itu :  Prabowo-Puan vs Airlangga Cak Imin  Jangan kasih ruang bagi sekitar istanâ€¦ https://t.co/pCYfqJPDw3;NON-CYBERBULYING
Hkuncoro; Wong cilik ki seng piye to mbak?;NON-CYBERBULYING
_sendekala_; Marung pecel negara mana itu?;NON-CYBERBULYING
SunGodNika03; Mba rara panutanQ;NON-CYBERBULYING
indrwsap; Poser;NON-CYBERBULYING
IsmulLalu; Wong Cilik apa... Aku teriak teriak tolak naikkan BBM malah senang senang;NON-CYBERBULYING
UnclePicky; Iyooooop;NON-CYBERBULYING
snts_indra; Wong cilik pingin dadi wong gede, Iki wong gede malah pingin dadi wong cilik. Dadi wong cilik tenan nko sambat ðŸ¤£;CYBERBULLYING
who_knows2021; kumenangiiiiiiiis.. Membayangkan, betapa.... ðŸŽ¤ðŸŽ¶;NON-CYBERBULYING
Erwinwuarmanuk_; HAHAHHA .;NON-CYBERBULYING
Nangnung56; @Avif71571089 ðŸ¤£ðŸ¤£ðŸ¤£;NON-CYBERBULYING
Elllyourbae; lihat siapa yg berbicara ðŸƒðŸ»ðŸ’¨;NON-CYBERBULYING
dapyourbae666_; warung pecel mana tuh bu yang bangku sama mejanya pake kain gitu? saya mau makan disana juga nanti pulang kerja;NON-CYBERBULYING
Priatakpuitis; Pencitraanmu tanggung bu lek ngomong sendal karo pecel  HAHAHAHAHAHA https://t.co/fwRsDkivID;CYBERBULLYING
aprihandono; Kenapa maksain menggunakan wong cilik terus sih mba? Sampean iku sugihÂ² loh.   Coba diganti sloganâ€¦ https://t.co/cKuFuEN17p;NON-CYBERBULYING
jedhot5; partainya wong cilik..???? pret lah;NON-CYBERBULYING
PuthutWibowo; Warung pecel endi sing enek cmilan duren e ? Apus apus tok;NON-CYBERBULYING
striawira; Lawak;NON-CYBERBULYING
dscream_twt; Buk kalau nyalon please open DM dulu, terus kalo ada yg ngetag tolong dibaca terus klo urgent bisaâ€¦ https://t.co/KJEv4pYBU9;NON-CYBERBULYING
bajigurpapi; jijik;CYBERBULLYING
sam_maulana19; @sandalista1789 terngakak ngakak lihat postingan ini hahaha;CYBERBULLYING
yaininaif; Yang benerr;NON-CYBERBULYING
kkumacoups_; Duh jadi pengen pecel. Itu punya bu puan kayanya blm dimakan, sayang banget padahal kelihatan enak.;NON-CYBERBULYING
iRudiGunz; Tempat duduknya mantab ya... Kayak di acara kondangan ðŸ¤­ðŸ™„ðŸ¤£ðŸ˜‚ðŸ˜…... Saya belum pernah makan di warung yg kyk gini ðŸ¤­;NON-CYBERBULYING
emptyn0ise; afhh iyhhh;NON-CYBERBULYING
Joko_Prihanto; Pas ngomong #wongcilik itu apa ga keselek makan pecelnya?;NON-CYBERBULYING
Annisa_khaer; Puas banget bacain replyan netijenðŸ¤£ðŸ¤£;NON-CYBERBULYING
Bacotduls; Warung pecel apaan yang tampilannya begitu, heyâ€¦ mana konsumen yang lain kok ga nampak, blok.;CYBERBULLYING
AluNuralim; Tolol;CYBERBULLYING
adalahaqew; kenapa nyapres? ya kenapa tidak ygy;NON-CYBERBULYING
rusdiandi1; Matiin mic nya lagi dongs;CYBERBULLYING
affsak_; haduhhh......ðŸ¦¥;NON-CYBERBULYING
vrambanan; Harga BBM Gilaaa..,gak usah ngomong bukti ajj wooy;CYBERBULLYING
fahmiaale; mampuku mung tuku krupuke bestie;NON-CYBERBULYING
ifaaaaaaaaaaaa_; Pret;NON-CYBERBULYING
alhabib_ra; wong cilik ga suka matiin mic;CYBERBULLYING
pemainnomer28; Sandal jepit maksude menjepit perekonomian wong cilik ya bulik ??;NON-CYBERBULYING
tidaksemampayy; ndi wong cilik e;NON-CYBERBULYING
Rasahkepo29; Pangung sandiwara;NON-CYBERBULYING
akuinginbertani;" Hee ibu Puan.. bisa ga kalimat ""wong cilik"" diganti dg kalimat Rakyat, masyarakat, atau apalah yg lebih enak dicerna";NON-CYBERBULYING
s0ft_demons; Afh ih;NON-CYBERBULYING
MilaSilvia_; Komennya ya ampun ðŸ˜‚ðŸ˜‚;NON-CYBERBULYING
ghufron19jan; telekk gondesss;CYBERBULLYING
krisnarhm; affhh iyhh;NON-CYBERBULYING
BalsemOt; Ga perlu sosialisasi beginian d Twitter, ga laku;CYBERBULLYING
dimasts_; wong cilik nek ketemuan ra di upload;NON-CYBERBULYING
Oshiiiiiinnn_50; https://t.co/yTbd6SfkkO;NON-CYBERBULYING
andhikatsu; keren banget, saya jadi gamau milih;NON-CYBERBULYING
muhamadaan2; warunge wong cilik kok tisunya tisu indomart, harusnya tisu gulung toilet;CYBERBULLYING
indo_medok; Lakok g Pake Piring hadiah Detergen sih;NON-CYBERBULYING
Reremaulida; Ini pada ga trauma jadi akar rumput?  keinjek2 mulu sama bocah yang lagi main bola;NON-CYBERBULYING
senjakampung; Salfok ama duren nye;NON-CYBERBULYING
jussunkiss; bu puan ini sadar ga sih dia di hate se indonesia;CYBERBULLYING
kfcabib; Bu doain sayaa saya keterima di utbk 2023 mksh buuu;NON-CYBERBULYING
nootuknow; warung pecel mn yh yg pk tenda hajat trus meja kursinya pake sarung [heran] [mngsdih]ðŸ˜ŒðŸ˜ŒðŸ˜Œ;NON-CYBERBULYING
cuteascloud; hajar yang @riztalline;NON-CYBERBULYING
tyo_gans; Wong cilik itu mksdnya lagi ngomongin tinggi badan sampean sama cak Imin ya mbak?;NON-CYBERBULYING
qomaqueen; Wong cilik beli pecel di warung yg karpet mejanya udah ngelontok-ngelontok (robek/bolong/pudar) ðŸ˜†ðŸ˜†ðŸ˜†;NON-CYBERBULYING
senja2451; Kaya pecel pincuk depan TMP kalibata ya,tp sy srg kesitu kursi n meja nya ga ky gt deh, spt sgj dipersiapkan;NON-CYBERBULYING
MuhamadIsnaen12; Mana tangismu waktu BBM naik?;NON-CYBERBULYING
serbukupil; AYO SEMANGAT NEK PENCITRAANNYA... KAMI WONG CILIK KETAWA SAJA BERSAMA2.;NON-CYBERBULYING
CaturSugianto13; Ga usah pencitraan mulu bu rakyat uda pada tau ko aslinya gimana wkwk;CYBERBULLYING
AhmadFadh5; Habis makan pecel...mencret gak?;NON-CYBERBULYING
MuhamadIsnaen12; Partai yang memanfaatkan wong cilik;CYBERBULLYING
azharrizkyy; request next di burjo sijhon dong bu;NON-CYBERBULYING
byan_tktk; Semoga sadar;NON-CYBERBULYING
kodokhijau2014; Ah masak sihâ€¦ Juliari Batubara kader partai mana ya?koq tega nyolong bansos wong cilik yg lg kesulitan dilockdown covid;NON-CYBERBULYING
i_ambabyface; Ah masaa;NON-CYBERBULYING
Irmalaila_;" Napa siih tiap Deket"" waktu pemilu suka ngaku"" partai wong cilik. Bu...Buu... Mbok ya sadar";CYBERBULLYING
nataxcoco; afah iyah?;NON-CYBERBULYING
ShinreinoM; Pasti tim sosmednya yang bikin;NON-CYBERBULYING
Rsptra_1; Typo mungkin ya Bu, maksdny wong licik;CYBERBULLYING
saiadulu; Pmcittrrraaan ngg yha;NON-CYBERBULYING
yasaRein_A; mana ada warung pecel mejanya pake taplak putih wkwk;NON-CYBERBULYING
RMAbuS4; masih punya muka juga..    bgsd lucu sekali ni betina;CYBERBULLYING
Ran9_9a; Kaga usah bawa nama wong cilik Dulu juga pake nama itu buat demo cuma sinetron Kalo ada yang sampeâ€¦ https://t.co/FhVynV3QPE;CYBERBULLYING
rendragustipr; Skip bu, ndak relate babar blas. Harusnya pake tissue toilet yg gulung buat disajikan di meja biarâ€¦ https://t.co/r3y9aapyEw;CYBERBULLYING
FZatni;" Dah males liatnya yg model pansos"" gini basi ""sok merakyat"" nyatanya cuma janji doang. Klo ada cloâ€¦ https://t.co/RBl1Ntajz3";NON-CYBERBULYING
waifunicorobin; prettt pengen komedi banget;NON-CYBERBULYING
aljunday; Budeh itu peyek sama kerupuk nya ga ditaro toples ntr melempem dong;NON-CYBERBULYING
Sayasiapa250; Kok pengen nimpuk pake sendal jepit ya;CYBERBULLYING
wortellemonde; Tapi knp ibu harus bikin tenda sendiri di luar? Knp ngga makan di dalam warungnya?;NON-CYBERBULYING
nandwiputra; Lelah ketawa;NON-CYBERBULYING
rzkypra; Tapi ibu sempetin diri buat nangisin kenaikan BBM ngga?;NON-CYBERBULYING
srytmn; duh ibu Puan salah terus dimata warga twitter, kena CYBERBULLYING trus.  udah mending fokus main di FB sama tiktok aja bu;CYBERBULLYING
redorizaldi; semoga pdip mencalonkan puan biar josht hasilnya ðŸ˜˜ðŸ˜˜;NON-CYBERBULYING
awaskegocekk; mbak rara ngapain disitu bukannya ngremot ac langit;CYBERBULLYING
Rezzaitem; Dijilat diceburin;NON-CYBERBULYING
_Kapoet_;" Itu ""Duren"" nya siapa Bu? https://t.co/OJBP9vLPA8";NON-CYBERBULYING
galihpratamaa3; udah pernah ngerasain minya goreng habis belum bu? kalo wong cilik pernah, soalnya syarat dadi wonâ€¦ https://t.co/2YxdiyP4Go;NON-CYBERBULYING
marsupilamit_; 17k masih mahal buðŸ¥¹ðŸ¥¹;NON-CYBERBULYING
oooninaaa; cocotmu;NON-CYBERBULYING
rioagussetiawan;" Stop Bu berjualan tagline ""Partai Wong Cilik"" karena realitanya ya gak seperti itu";NON-CYBERBULYING
clairdelalalaa; https://t.co/SQU16dzleI;NON-CYBERBULYING
voltajolt; Ð£ÑÑ‚Ð°! Ð¢Ð¾ Ñ˜Ðµ Ð·Ð°Ñ‚Ð¾ ÑˆÑ‚Ð¾ Ð²Ð°Ð¼ ÑÐµ Ð»Ð¸Ñ‡Ð½Ð¾ Ð½Ðµ ÑÐ²Ð¸Ñ’Ð° Ð¢ÐµÐ½ Ð¥Ð°Ð³. ÐÐ°Ð¿Ñ€ÐµÐ´Ð°Ðº Ñ˜Ðµ Ñ˜Ð°ÑÐ½Ð¾ Ð²Ð¸Ð´Ñ™Ð¸Ð² Ð¿Ð¾ Ð¿Ð¸Ñ‚Ð°ÑšÑƒ Ð¸Ð³Ñ€Ðµ Ð¸Ð°ÐºÐ¾ Ð¸â€¦ https://t.co/qoEFmy3h2z;NON-CYBERBULYING
kangmas_234; Tukang bakso pula;NON-CYBERBULYING
abdsastrasagala; Lawak https://t.co/nblqT81mVm;NON-CYBERBULYING
Tokkonan; Apapun makanannya, minumnya tetap kopi  Ngopi yuk....;NON-CYBERBULYING
Ishomuddin2; Sayang sekali suara rakyat yg selama ini mendukung pdip akan bs hilang ato minimal berkurang hanyaâ€¦ https://t.co/Onk2JziSzY;CYBERBULLYING
fatyakresnawan; TWAEKKKKKKK;NON-CYBERBULYING
Mark04077664; Udah dekat hari-H;NON-CYBERBULYING
sandalselen15; Komennya gak ada yang positipðŸ˜¬;NON-CYBERBULYING
kentankbingits; Oh gt;NON-CYBERBULYING
shimafanissa; Warung apa tuch;NON-CYBERBULYING
fizhionary; Mau pencitraan tapi komennya negatif semua. Wkwkwk. Orang udah pada tau busuknya. Malu ga sih.  Yaâ€¦ https://t.co/W4pA2v3Wco;CYBERBULLYING
erzet_es; Aku beli ayam bakar 17k mikir2;NON-CYBERBULYING
ardinino10; Bu disini hujan.;NON-CYBERBULYING
iam_buddyz; Kasihan wong ciliknya di goblok-goblokin sama pencitraan ðŸ¤­ðŸ¤­ðŸ¤­ bagus banget meja rakyat sama besek pâ€¦ https://t.co/GkCNVqh18Q;CYBERBULLYING
iyaiyaoo; kok warungnya sepi sekali bu?;NON-CYBERBULYING
ddmptsmblndlpn; Buk po ga capek pencitraan terus;CYBERBULLYING
jarakmenjauh; Hha babi lah;CYBERBULLYING
baedhowie; ko gamalu shii;NON-CYBERBULYING
SilentReader_21; Warung pecel??? Keliatan bnget boong nya mba;NON-CYBERBULYING
_pikripikripik; https://t.co/rOYMz8yQTt;NON-CYBERBULYING
rrrrrruto; Trsrh lu ran;NON-CYBERBULYING
syaarw; ga nanya;NON-CYBERBULYING
Ubaidillahabdan; Lohh mbak rara jadi kader PDI saiki??;NON-CYBERBULYING
Wahesla; Ohh udh sebentar lagi yah;NON-CYBERBULYING
amin_haris65; Et dah nongol mulu;NON-CYBERBULYING
mr_iiii1iuuus; wong cilik ( jentik ane);NON-CYBERBULYING
machadecoco; Maaf bu ndak nyoblos njenengan sama PDI mboten nopo2 nggih ðŸ™ sedoyo larang sakniki ngonten.;NON-CYBERBULYING
sahmad010226; Ini siapa ? kok wajahnya mirip dukun Rara ?;NON-CYBERBULYING
dickymoha; Merakyat tapi meja khusus ya bu...;NON-CYBERBULYING
forseokminlee; Anjayy, mau duren nya;NON-CYBERBULYING
YogaPriyono7; https://t.co/fPwRzFrNqd;NON-CYBERBULYING
JanganDilihat09; Yakin Wong cilik ? Hhhh;NON-CYBERBULYING
rizqirizal_; Afaa iyaach ? Berharap dipilih dengan gimik makan pecel buk ? Gak dulu. Wong cilik ganok seng mangâ€¦ https://t.co/JIX3TH0k7N;NON-CYBERBULYING
YogaPriyono7; Wong cilik nya yang gimana dulu bu? Yang bermobil BMW?;NON-CYBERBULYING
